region,type,os,price
ap-southeast-1,g2.2xlarge,linux,1.0
ap-southeast-1,g2.8xlarge,linux,4.0
ap-southeast-1,r3.large,linux,0.2
ap-southeast-1,r3.xlarge,linux,0.399
ap-southeast-1,r3.2xlarge,linux,0.798
ap-southeast-1,r3.4xlarge,linux,1.596
ap-southeast-1,r3.8xlarge,linux,3.192
ap-southeast-1,i2.xlarge,linux,1.018
ap-southeast-1,i2.2xlarge,linux,2.035
ap-southeast-1,i2.4xlarge,linux,4.07
ap-southeast-1,i2.8xlarge,linux,8.14
ap-southeast-1,d2.xlarge,linux,0.87
ap-southeast-1,d2.2xlarge,linux,1.74
ap-southeast-1,d2.4xlarge,linux,3.48
ap-southeast-1,d2.8xlarge,linux,6.96
ap-northeast-1,t2.nano,linux,0.01
ap-northeast-1,t2.micro,linux,0.02
ap-northeast-1,t2.small,linux,0.04
ap-northeast-1,t2.medium,linux,0.08
ap-northeast-1,t2.large,linux,0.16
ap-northeast-1,m4.large,linux,0.174
ap-northeast-1,m4.xlarge,linux,0.348
ap-northeast-1,m4.2xlarge,linux,0.695
ap-northeast-1,m4.4xlarge,linux,1.391
ap-northeast-1,m4.10xlarge,linux,3.477
ap-northeast-1,m3.medium,linux,0.096
ap-northeast-1,m3.large,linux,0.193
ap-northeast-1,m3.xlarge,linux,0.385
ap-northeast-1,m3.2xlarge,linux,0.77
ap-northeast-1,c4.large,linux,0.133
ap-northeast-1,c4.xlarge,linux,0.265
ap-northeast-1,c4.2xlarge,linux,0.531
ap-northeast-1,c4.4xlarge,linux,1.061
ap-northeast-1,c4.8xlarge,linux,2.122
ap-northeast-1,c3.large,linux,0.128
ap-northeast-1,c3.xlarge,linux,0.255
ap-northeast-1,c3.2xlarge,linux,0.511
ap-northeast-1,c3.4xlarge,linux,1.021
ap-northeast-1,c3.8xlarge,linux,2.043
ap-northeast-1,g2.2xlarge,linux,0.898
ap-northeast-1,g2.8xlarge,linux,3.592
ap-northeast-1,r3.large,linux,0.2
ap-northeast-1,r3.xlarge,linux,0.399
ap-northeast-1,r3.2xlarge,linux,0.798
ap-northeast-1,r3.4xlarge,linux,1.596
ap-northeast-1,r3.8xlarge,linux,3.192
ap-northeast-1,i2.xlarge,linux,1.001
ap-northeast-1,i2.2xlarge,linux,2.001
ap-northeast-1,i2.4xlarge,linux,4.002
ap-northeast-1,i2.8xlarge,linux,8.004
ap-northeast-1,d2.xlarge,linux,0.844
ap-northeast-1,d2.2xlarge,linux,1.688
ap-northeast-1,d2.4xlarge,linux,3.376
ap-northeast-1,d2.8xlarge,linux,6.752
ap-southeast-2,t2.micro,linux,0.02
ap-southeast-2,t2.small,linux,0.04
ap-southeast-2,t2.medium,linux,0.08
ap-southeast-2,t2.large,linux,0.16
ap-southeast-2,m4.large,linux,0.168
ap-southeast-2,m4.xlarge,linux,0.336
ap-southeast-2,m4.2xlarge,linux,0.673
ap-southeast-2,m4.4xlarge,linux,1.345
ap-southeast-2,m4.10xlarge,linux,3.363
ap-southeast-2,m3.medium,linux,0.093
ap-southeast-2,m3.large,linux,0.186
ap-southeast-2,m3.xlarge,linux,0.372
ap-southeast-2,m3.2xlarge,linux,0.745
ap-southeast-2,c4.large,linux,0.137
ap-southeast-2,c4.xlarge,linux,0.275
ap-southeast-2,c4.2xlarge,linux,0.549
ap-southeast-2,c4.4xlarge,linux,1.097
ap-southeast-2,c4.8xlarge,linux,2.195
ap-southeast-2,c3.large,linux,0.132
ap-southeast-2,c3.xlarge,linux,0.265
ap-southeast-2,c3.2xlarge,linux,0.529
ap-southeast-2,c3.4xlarge,linux,1.058
ap-southeast-2,c3.8xlarge,linux,2.117
ap-southeast-2,g2.2xlarge,linux,0.898
ap-southeast-2,g2.8xlarge,linux,3.592
ap-southeast-2,r3.large,linux,0.2
ap-southeast-2,r3.xlarge,linux,0.399
ap-southeast-2,r3.2xlarge,linux,0.798
ap-southeast-2,r3.4xlarge,linux,1.596
ap-southeast-2,r3.8xlarge,linux,3.192
ap-southeast-2,i2.xlarge,linux,1.018
ap-southeast-2,i2.2xlarge,linux,2.035
ap-southeast-2,i2.4xlarge,linux,4.07
ap-southeast-2,i2.8xlarge,linux,8.14
ap-southeast-2,d2.xlarge,linux,0.87
ap-southeast-2,d2.2xlarge,linux,1.74
ap-southeast-2,d2.4xlarge,linux,3.48
ap-southeast-2,d2.8xlarge,linux,6.96
ap-northeast-2,t2.nano,linux,0.01
ap-northeast-2,t2.micro,linux,0.02
ap-northeast-2,t2.small,linux,0.04
ap-northeast-2,t2.medium,linux,0.08
ap-northeast-2,t2.large,linux,0.16
ap-northeast-2,m4.large,linux,0.165
ap-northeast-2,m4.xlarge,linux,0.331
ap-northeast-2,m4.2xlarge,linux,0.66
ap-northeast-2,m4.4xlarge,linux,1.321
ap-northeast-2,m4.10xlarge,linux,3.303
ap-northeast-2,c4.large,linux,0.12
ap-northeast-2,c4.xlarge,linux,0.239
ap-northeast-2,c4.2xlarge,linux,0.478
ap-northeast-2,c4.4xlarge,linux,0.955
ap-northeast-2,c4.8xlarge,linux,1.91
ap-northeast-2,r3.large,linux,0.2
ap-northeast-2,r3.xlarge,linux,0.399
ap-northeast-2,r3.2xlarge,linux,0.798
ap-northeast-2,r3.4xlarge,linux,1.596
ap-northeast-2,r3.8xlarge,linux,3.192
ap-northeast-2,i2.xlarge,linux,1.001
ap-northeast-2,i2.2xlarge,linux,2.001
ap-northeast-2,i2.4xlarge,linux,4.002
ap-northeast-2,i2.8xlarge,linux,8.004
ap-northeast-2,d2.xlarge,linux,0.844
ap-northeast-2,d2.2xlarge,linux,1.688
ap-northeast-2,d2.4xlarge,linux,3.376
ap-northeast-2,d2.8xlarge,linux,6.752
sa-east-1,t2.nano,linux,0.0135
sa-east-1,t2.micro,linux,0.027
sa-east-1,t2.small,linux,0.054
sa-east-1,t2.medium,linux,0.108
sa-east-1,t2.large,linux,0.216
sa-east-1,m3.medium,linux,0.095
sa-east-1,m3.large,linux,0.19
sa-east-1,m3.xlarge,linux,0.381
sa-east-1,m3.2xlarge,linux,0.761
sa-east-1,c3.large,linux,0.163
sa-east-1,c3.xlarge,linux,0.325
sa-east-1,c3.2xlarge,linux,0.65
sa-east-1,c3.4xlarge,linux,1.3
sa-east-1,c3.8xlarge,linux,2.6
sa-east-1,r3.4xlarge,linux,2.799
sa-east-1,r3.8xlarge,linux,5.597
us-gov-west-1,t2.nano,linux,0.0075
us-gov-west-1,t2.micro,linux,0.015
us-gov-west-1,t2.small,linux,0.031
us-gov-west-1,t2.medium,linux,0.062
us-gov-west-1,t2.large,linux,0.124
us-gov-west-1,m3.medium,linux,0.084
us-gov-west-1,m3.large,linux,0.168
us-gov-west-1,m3.xlarge,linux,0.336
us-gov-west-1,m3.2xlarge,linux,0.672
us-gov-west-1,c3.large,linux,0.126
us-gov-west-1,c3.xlarge,linux,0.252
us-gov-west-1,c3.2xlarge,linux,0.504
us-gov-west-1,c3.4xlarge,linux,1.008
us-gov-west-1,c3.8xlarge,linux,2.016
us-gov-west-1,r3.large,linux,0.2
us-gov-west-1,r3.xlarge,linux,0.399
us-gov-west-1,r3.2xlarge,linux,0.798
us-gov-west-1,r3.4xlarge,linux,1.596
us-gov-west-1,r3.8xlarge,linux,3.192
us-gov-west-1,i2.xlarge,linux,1.023
us-gov-west-1,i2.2xlarge,linux,2.046
us-gov-west-1,i2.4xlarge,linux,4.092
us-gov-west-1,i2.8xlarge,linux,8.184
us-gov-west-1,d2.xlarge,linux,0.828
us-gov-west-1,d2.2xlarge,linux,1.656
us-gov-west-1,d2.4xlarge,linux,3.312
us-gov-west-1,d2.8xlarge,linux,6.624
us-east-1,t2.micro,rhel,0.073
us-east-1,t2.small,rhel,0.086
us-east-1,t2.medium,rhel,0.112
us-east-1,t2.large,rhel,0.164
us-east-1,m4.large,rhel,0.18
us-east-1,m4.xlarge,rhel,0.299
us-east-1,m4.2xlarge,rhel,0.609
us-east-1,m4.4xlarge,rhel,1.088
us-east-1,m4.10xlarge,rhel,2.524
us-east-1,m3.medium,rhel,0.127
us-east-1,m3.large,rhel,0.193
us-east-1,m3.xlarge,rhel,0.326
us-east-1,m3.2xlarge,rhel,0.662
us-east-1,c4.large,rhel,0.165
us-east-1,c4.xlarge,rhel,0.269
us-east-1,c4.2xlarge,rhel,0.549
us-east-1,c4.4xlarge,rhel,0.968
us-east-1,c4.8xlarge,rhel,1.805
us-east-1,c3.large,rhel,0.165
us-east-1,c3.xlarge,rhel,0.27
us-east-1,c3.2xlarge,rhel,0.55
us-east-1,c3.4xlarge,rhel,0.97
us-east-1,c3.8xlarge,rhel,1.81
us-east-1,g2.2xlarge,rhel,0.78
us-east-1,g2.8xlarge,rhel,2.73
us-east-1,r3.large,rhel,0.226
us-east-1,r3.xlarge,rhel,0.393
us-east-1,r3.2xlarge,rhel,0.795
us-east-1,r3.4xlarge,rhel,1.46
us-east-1,r3.8xlarge,rhel,2.79
us-east-1,i2.xlarge,rhel,0.913
us-east-1,i2.2xlarge,rhel,1.835
us-east-1,i2.4xlarge,rhel,3.54
us-east-1,i2.8xlarge,rhel,6.95
us-east-1,d2.xlarge,rhel,0.75
us-east-1,d2.2xlarge,rhel,1.51
us-east-1,d2.4xlarge,rhel,2.89
us-east-1,d2.8xlarge,rhel,5.65
us-west-2,t2.micro,rhel,0.073
us-west-2,t2.small,rhel,0.086
us-west-2,t2.medium,rhel,0.112
us-west-2,t2.large,rhel,0.164
us-west-2,m4.large,rhel,0.18
us-west-2,m4.xlarge,rhel,0.299
us-west-2,m4.2xlarge,rhel,0.609
us-west-2,m4.4xlarge,rhel,1.088
us-west-2,m4.10xlarge,rhel,2.524
us-west-2,m3.medium,rhel,0.127
us-west-2,m3.large,rhel,0.193
us-west-2,m3.xlarge,rhel,0.326
us-west-2,m3.2xlarge,rhel,0.662
us-west-2,c4.large,rhel,0.165
us-west-2,c4.xlarge,rhel,0.269
us-west-2,c4.2xlarge,rhel,0.549
us-west-2,c4.4xlarge,rhel,0.968
us-west-2,c4.8xlarge,rhel,1.805
us-west-2,c3.large,rhel,0.165
us-west-2,c3.xlarge,rhel,0.27
us-west-2,c3.2xlarge,rhel,0.55
us-west-2,c3.4xlarge,rhel,0.97
us-west-2,c3.8xlarge,rhel,1.81
us-west-2,g2.2xlarge,rhel,0.78
us-west-2,g2.8xlarge,rhel,2.73
us-west-2,r3.large,rhel,0.226
us-west-2,r3.xlarge,rhel,0.393
us-west-2,r3.2xlarge,rhel,0.795
us-west-2,r3.4xlarge,rhel,1.46
us-west-2,r3.8xlarge,rhel,2.79
us-west-2,i2.xlarge,rhel,0.913
us-west-2,i2.2xlarge,rhel,1.835
us-west-2,i2.4xlarge,rhel,3.54
us-west-2,i2.8xlarge,rhel,6.95
us-west-2,d2.xlarge,rhel,0.75
us-west-2,d2.2xlarge,rhel,1.51
us-west-2,d2.4xlarge,rhel,2.89
us-west-2,d2.8xlarge,rhel,5.65
us-west-1,t2.micro,rhel,0.077
us-west-1,t2.small,rhel,0.094
us-west-1,t2.medium,rhel,0.128
us-west-1,t2.large,rhel,0.196
us-west-1,m4.large,rhel,0.2
us-west-1,m4.xlarge,rhel,0.339
us-west-1,m4.2xlarge,rhel,0.689
us-west-1,m4.4xlarge,rhel,1.247
us-west-1,m4.10xlarge,rhel,2.923
us-west-1,m3.medium,rhel,0.137
us-west-1,m3.large,rhel,0.214
us-west-1,m3.xlarge,rhel,0.368
us-west-1,m3.2xlarge,rhel,0.746
us-west-1,c4.large,rhel,0.191
us-west-1,c4.xlarge,rhel,0.322
us-west-1,c4.2xlarge,rhel,0.654
us-west-1,c4.4xlarge,rhel,1.179
us-west-1,c4.8xlarge,rhel,2.228
us-west-1,c3.large,rhel,0.18
us-west-1,c3.xlarge,rhel,0.299
us-west-1,c3.2xlarge,rhel,0.608
us-west-1,c3.4xlarge,rhel,1.086
us-west-1,c3.8xlarge,rhel,2.042
us-west-1,g2.2xlarge,rhel,0.832
us-west-1,g2.8xlarge,rhel,2.938
us-west-1,r3.large,rhel,0.245
us-west-1,r3.xlarge,rhel,0.431
us-west-1,r3.2xlarge,rhel,0.871
us-west-1,r3.4xlarge,rhel,1.612
us-west-1,r3.8xlarge,rhel,3.094
us-west-1,i2.xlarge,rhel,0.998
us-west-1,i2.2xlarge,rhel,2.006
us-west-1,i2.4xlarge,rhel,3.881
us-west-1,i2.8xlarge,rhel,7.632
eu-west-1,t2.micro,rhel,0.074
eu-west-1,t2.small,rhel,0.088
eu-west-1,t2.medium,rhel,0.116
eu-west-1,t2.large,rhel,0.172
eu-west-1,m4.large,rhel,0.192
eu-west-1,m4.xlarge,rhel,0.324
